danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like,track_name
0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,audio_features,6gxycjJNMgmAyfzUXBN80P,spotify:track:6gxycjJNMgmAyfzUXBN80P,https://api.spotify.com/v1/tracks/6gxycjJNMgmAyfzUXBN80P,https://api.spotify.com/v1/audio-analysis/6gxycjJNMgmAyfzUXBN80P,258653,4,1,Goodbye My Lover
0.455,0.881,11,-5.587,1,0.0401,0.000566,6.06e-05,0.11,0.201,137.949,audio_features,0eDQj41kzBhMKQIkTt6OJR,spotify:track:0eDQj41kzBhMKQIkTt6OJR,https://api.spotify.com/v1/tracks/0eDQj41kzBhMKQIkTt6OJR,https://api.spotify.com/v1/audio-analysis/0eDQj41kzBhMKQIkTt6OJR,331200,4,1,A Certain Romance
0.669,0.54,11,-8.322,0,0.0339,0.137,0.00374,0.339,0.549,97.993,audio_features,0pKrMTlDlW54abYkdBsgxj,spotify:track:0pKrMTlDlW54abYkdBsgxj,https://api.spotify.com/v1/tracks/0pKrMTlDlW54abYkdBsgxj,https://api.spotify.com/v1/audio-analysis/0pKrMTlDlW54abYkdBsgxj,257573,4,1,Knee Socks
0.748,0.835,7,-5.731,1,0.0351,0.0854,1.97e-06,0.0365,0.896,142.942,audio_features,19ScoKGqnfUggyqOVQjsoH,spotify:track:19ScoKGqnfUggyqOVQjsoH,https://api.spotify.com/v1/tracks/19ScoKGqnfUggyqOVQjsoH,https://api.spotify.com/v1/audio-analysis/19ScoKGqnfUggyqOVQjsoH,212000,4,1,La ingrata
0.474,0.149,7,-18.635,1,0.044,0.876,0.0126,0.0919,0.482,157.134,audio_features,5mLuPM0CpoXyrBncooRJZa,spotify:track:5mLuPM0CpoXyrBncooRJZa,https://api.spotify.com/v1/tracks/5mLuPM0CpoXyrBncooRJZa,https://api.spotify.com/v1/audio-analysis/5mLuPM0CpoXyrBncooRJZa,336400,4,1,Quién Fuera
0.581,0.0387,1,-20.126,0,0.0566,0.938,0.000417,0.114,0.181,81.201,audio_features,6FlbHjkBxLa8ZS7xQCi95e,spotify:track:6FlbHjkBxLa8ZS7xQCi95e,https://api.spotify.com/v1/tracks/6FlbHjkBxLa8ZS7xQCi95e,https://api.spotify.com/v1/audio-analysis/6FlbHjkBxLa8ZS7xQCi95e,282543,4,1,La Gaviota
0.59,0.317,7,-15.014,1,0.0307,0.000877,0.000867,0.0745,0.33,99.81,audio_features,2Aqc48sn8He26hmTvQ2BMj,spotify:track:2Aqc48sn8He26hmTvQ2BMj,https://api.spotify.com/v1/tracks/2Aqc48sn8He26hmTvQ2BMj,https://api.spotify.com/v1/audio-analysis/2Aqc48sn8He26hmTvQ2BMj,211440,4,1,Hey
0.574,0.925,6,-2.766,0,0.0463,0.00164,0.0243,0.115,0.369,125.501,audio_features,6i99ThziImjuFABb8rUQvy,spotify:track:6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/tracks/6i99ThziImjuFABb8rUQvy,https://api.spotify.com/v1/audio-analysis/6i99ThziImjuFABb8rUQvy,243333,4,1,11th Dimension
0.817,0.705,1,-7.592,0,0.0371,0.643,0.000385,0.163,0.965,128.053,audio_features,11fnuga2uuN4rSEQuOj4dc,spotify:track:11fnuga2uuN4rSEQuOj4dc,https://api.spotify.com/v1/tracks/11fnuga2uuN4rSEQuOj4dc,https://api.spotify.com/v1/audio-analysis/11fnuga2uuN4rSEQuOj4dc,219573,4,1,Vagabundos De Otro Mundo
0.688,0.682,9,-4.749,0,0.0399,0.346,0.0,0.0703,0.89,175.989,audio_features,3ppYuTXffobmtunFqWfq80,spotify:track:3ppYuTXffobmtunFqWfq80,https://api.spotify.com/v1/tracks/3ppYuTXffobmtunFqWfq80,https://api.spotify.com/v1/audio-analysis/3ppYuTXffobmtunFqWfq80,251240,4,1,Flaquita
